n,Observable,Fold,Statistic,Value
200,25,1,rmse,0.367965982
250,25,1,rmse,0.359309305
300,25,1,rmse,0.443871998
350,25,1,rmse,0.359787004
200,24,1,rmse,0.375482401
250,24,1,rmse,0.423409669
300,24,1,rmse,0.343765716
350,24,1,rmse,0.37941062
200,30,1,rmse,0.384614038
250,30,1,rmse,0.357930999
300,30,1,rmse,0.406005451
350,30,1,rmse,0.369332747
200,31,1,rmse,0.483749487
250,31,1,rmse,0.504660572
300,31,1,rmse,0.49020977
350,31,1,rmse,0.520784978
200,25,2,rmse,0.416391095
250,25,2,rmse,0.369949931
300,25,2,rmse,0.397687817
350,25,2,rmse,0.348685143
200,24,2,rmse,0.40200118
250,24,2,rmse,0.395324061
300,24,2,rmse,0.40272739
350,24,2,rmse,0.375447617
200,30,2,rmse,0.433930505
250,30,2,rmse,0.392497825
300,30,2,rmse,0.395069329
350,30,2,rmse,0.404365611
200,31,2,rmse,0.474086721
250,31,2,rmse,0.452966546
300,31,2,rmse,0.486962271
350,31,2,rmse,0.512241642
200,25,1,crps,0.217322417
250,25,1,crps,0.202478835
300,25,1,crps,0.23243413
350,25,1,crps,0.35655403
200,24,1,crps,0.212087933
250,24,1,crps,0.233621154
300,24,1,crps,0.206701436
350,24,1,crps,0.214996045
200,30,1,crps,0.218439375
250,30,1,crps,0.20196851
300,30,1,crps,0.230048586
350,30,1,crps,0.205947533
200,31,1,crps,0.314407823
250,31,1,crps,0.282052357
300,31,1,crps,0.26483519
350,31,1,crps,0.287633873
200,25,2,crps,0.217401881
250,25,2,crps,0.40053165
300,25,2,crps,0.213898957
350,25,2,crps,0.209334221
200,24,2,crps,0.999054571
250,24,2,crps,0.222602534
300,24,2,crps,0.22373103
350,24,2,crps,0.215419149
200,30,2,crps,0.245985724
250,30,2,crps,0.235234652
300,30,2,crps,0.220778003
350,30,2,crps,0.224851883
200,31,2,crps,0.277166526
250,31,2,crps,0.252090728
300,31,2,crps,0.261985846
350,31,2,crps,0.281170437
200,25,1,cov,0.212454212
250,25,1,cov,0.551569507
300,25,1,cov,0.404624277
350,25,1,cov,1
200,24,1,cov,0.076923077
250,24,1,cov,0.174887892
300,24,1,cov,0.61849711
350,24,1,cov,0.528455285
200,30,1,cov,0.509157509
250,30,1,cov,0.461883408
300,30,1,cov,0.566473988
350,30,1,cov,0.260162602
200,31,1,cov,0.714285714
250,31,1,cov,0.33632287
300,31,1,cov,0.630057803
350,31,1,cov,0.260162602
200,25,2,cov,0.362637363
250,25,2,cov,0.246636771
300,25,2,cov,0.341040462
350,25,2,cov,0.674796748
200,24,2,cov,0.967032967
250,24,2,cov,0.174887892
300,24,2,cov,0.485549133
350,24,2,cov,0.138211382
200,30,2,cov,0.432234432
250,30,2,cov,0.466367713
300,30,2,cov,0.526011561
350,30,2,cov,0.585365854
200,31,2,cov,0.73992674
250,31,2,cov,0.502242152
300,31,2,cov,0.104046243
350,31,2,cov,0.414634146
