"n","Observable","Fold","Statistic","Value"
"200","25",1,"rmse",0.386466886275922
"250","25",1,"rmse",0.373738435217135
"300","25",1,"rmse",0.405615870637787
"350","25",1,"rmse",0.39521950762498
"200","24",1,"rmse",0.405993793243154
"250","24",1,"rmse",0.38628627946213
"300","24",1,"rmse",0.333004769310218
"350","24",1,"rmse",0.316207262323481
"200","30",1,"rmse",0.343401607155314
"250","30",1,"rmse",0.327010777906197
"300","30",1,"rmse",0.352217563257092
"350","30",1,"rmse",0.383128069440803
"200","31",1,"rmse",0.379014515612236
"250","31",1,"rmse",0.434115430815744
"300","31",1,"rmse",0.426871324403251
"350","31",1,"rmse",0.398042129139478
"200","25",2,"rmse",0.413955138464991
"250","25",2,"rmse",0.445308610768324
"300","25",2,"rmse",0.307336341972212
"350","25",2,"rmse",0.396943592989521
"200","24",2,"rmse",0.3820767950722
"250","24",2,"rmse",0.373229950821082
"300","24",2,"rmse",0.335939588388625
"350","24",2,"rmse",0.378182345901397
"200","30",2,"rmse",0.387093532404192
"250","30",2,"rmse",0.386579212348083
"300","30",2,"rmse",0.323172294353278
"350","30",2,"rmse",0.351991587199744
"200","31",2,"rmse",0.465380486098849
"250","31",2,"rmse",0.406182639626945
"300","31",2,"rmse",0.467843986289223
"350","31",2,"rmse",0.370354370170114
"200","25",3,"rmse",0.400470535366051
"250","25",3,"rmse",0.35728711564933
"300","25",3,"rmse",0.357001380725462
"350","25",3,"rmse",0.382750643782696
"200","24",3,"rmse",0.38737551565167
"250","24",3,"rmse",0.35898985211056
"300","24",3,"rmse",0.37606107974852
"350","24",3,"rmse",0.37606013109422
"200","30",3,"rmse",0.391691558647331
"250","30",3,"rmse",0.366725297505925
"300","30",3,"rmse",0.377261273336798
"350","30",3,"rmse",0.31901655192288
"200","31",3,"rmse",0.418228345955614
"250","31",3,"rmse",0.405864429041464
"300","31",3,"rmse",0.40454285681775
"350","31",3,"rmse",0.387832638025782
"200","25",4,"rmse",0.351672954265782
"250","25",4,"rmse",0.369181609809838
"300","25",4,"rmse",0.443272688845479
"350","25",4,"rmse",0.38611888064753
"200","24",4,"rmse",0.369341117826757
"250","24",4,"rmse",0.397236297619045
"300","24",4,"rmse",0.331818881987956
"350","24",4,"rmse",0.372294822591929
"200","30",4,"rmse",0.367653744497004
"250","30",4,"rmse",0.326451077738884
"300","30",4,"rmse",0.308255325264891
"350","30",4,"rmse",0.363408567973814
"200","31",4,"rmse",0.438831334152614
"250","31",4,"rmse",0.426437074884671
"300","31",4,"rmse",0.402077381921148
"350","31",4,"rmse",0.382564904461383
"200","25",5,"rmse",0.459502361598995
"250","25",5,"rmse",0.396741802536274
"300","25",5,"rmse",0.453343337128458
"350","25",5,"rmse",0.4372174595187
"200","24",5,"rmse",0.385207758082408
"250","24",5,"rmse",0.348823946362987
"300","24",5,"rmse",0.381804861564666
"350","24",5,"rmse",0.402433355936691
"200","30",5,"rmse",0.368429609012385
"250","30",5,"rmse",0.359687283490106
"300","30",5,"rmse",0.353374469453816
"350","30",5,"rmse",0.336047976180683
"200","31",5,"rmse",0.417608588278219
"250","31",5,"rmse",0.417608745459955
"300","31",5,"rmse",0.415666481035353
"350","31",5,"rmse",0.41878180177812
"200","25",6,"rmse",0.40517198280773
"250","25",6,"rmse",0.405747661545638
"300","25",6,"rmse",0.432641990807731
"350","25",6,"rmse",0.37162778791952
"200","24",6,"rmse",0.422252976699475
"250","24",6,"rmse",0.403535798794389
"300","24",6,"rmse",0.372731749498138
"350","24",6,"rmse",0.419647095849749
"200","30",6,"rmse",0.367415636002721
"250","30",6,"rmse",0.349673788313043
"300","30",6,"rmse",0.33406013659271
"350","30",6,"rmse",0.350337199549138
"200","31",6,"rmse",0.421158083447183
"250","31",6,"rmse",0.391216319905012
"300","31",6,"rmse",0.36734930247581
"350","31",6,"rmse",0.378765140744144
"200","25",7,"rmse",0.403937265919696
"250","25",7,"rmse",0.416573289015117
"300","25",7,"rmse",0.405857844293948
"350","25",7,"rmse",0.37578705772332
"200","24",7,"rmse",0.371969688051579
"250","24",7,"rmse",0.339278986088585
"300","24",7,"rmse",0.388869927538217
"350","24",7,"rmse",0.408691122673458
"200","30",7,"rmse",0.33928962359881
"250","30",7,"rmse",0.339160482439295
"300","30",7,"rmse",0.347920880958253
"350","30",7,"rmse",0.31765294965364
"200","31",7,"rmse",0.388218260110957
"250","31",7,"rmse",0.43633123522193
"300","31",7,"rmse",0.358495500593269
"350","31",7,"rmse",0.400934639435122
"200","25",8,"rmse",0.475597299382785
"250","25",8,"rmse",0.379366220202007
"300","25",8,"rmse",0.410778336716666
"350","25",8,"rmse",0.345168497131424
"200","24",8,"rmse",0.375064408705458
"250","24",8,"rmse",0.359416291056344
"300","24",8,"rmse",0.397375791900668
"350","24",8,"rmse",0.426670127904825
"200","30",8,"rmse",0.386118139775227
"250","30",8,"rmse",0.359834311168689
"300","30",8,"rmse",0.330354738310973
"350","30",8,"rmse",0.35530855821313
"200","31",8,"rmse",0.476460265571388
"250","31",8,"rmse",0.434748675895977
"300","31",8,"rmse",0.372876057387451
"350","31",8,"rmse",0.388148770815195
"200","25",9,"rmse",0.394907820323655
"250","25",9,"rmse",0.357655182056599
"300","25",9,"rmse",0.362043727626254
"350","25",9,"rmse",0.380975586754859
"200","24",9,"rmse",0.36280041370639
"250","24",9,"rmse",0.340121608693526
"300","24",9,"rmse",0.367665900273445
"350","24",9,"rmse",0.313166413558267
"200","30",9,"rmse",0.338178807528981
"250","30",9,"rmse",0.338031654428629
"300","30",9,"rmse",0.341859268784533
"350","30",9,"rmse",0.327990577447401
"200","31",9,"rmse",0.414097453745565
"250","31",9,"rmse",0.3770060335031
"300","31",9,"rmse",0.365824662227702
"350","31",9,"rmse",0.46546803363336
"200","25",10,"rmse",0.359801805445346
"250","25",10,"rmse",0.351605215261914
"300","25",10,"rmse",0.378854682819485
"350","25",10,"rmse",0.478553654043012
"200","24",10,"rmse",0.398908329982106
"250","24",10,"rmse",0.399708232911814
"300","24",10,"rmse",0.437699700287844
"350","24",10,"rmse",0.334903681505894
"200","30",10,"rmse",0.372250547538289
"250","30",10,"rmse",0.373916539038642
"300","30",10,"rmse",0.362781633321362
"350","30",10,"rmse",0.300492074893582
"200","31",10,"rmse",0.380557436941871
"250","31",10,"rmse",0.415138850512114
"300","31",10,"rmse",0.436551192266896
"350","31",10,"rmse",0.449421404747983
"200","25",1,"crps",0.217784617725432
"250","25",1,"crps",0.197066554489578
"300","25",1,"crps",0.209373914388768
"350","25",1,"crps",0.226356296236553
"200","24",1,"crps",0.226758886372447
"250","24",1,"crps",0.210267037859412
"300","24",1,"crps",0.188454738102633
"350","24",1,"crps",0.174602406516438
"200","30",1,"crps",0.190780183875076
"250","30",1,"crps",0.180149088231054
"300","30",1,"crps",0.192087361584609
"350","30",1,"crps",0.217376619537173
"200","31",1,"crps",0.205729920104177
"250","31",1,"crps",0.242474514773781
"300","31",1,"crps",0.234212711383773
"350","31",1,"crps",0.220647895681561
"200","25",2,"crps",0.226314691652214
"250","25",2,"crps",0.235023142222461
"300","25",2,"crps",0.172525266659978
"350","25",2,"crps",0.228273188185308
"200","24",2,"crps",0.210697665585667
"250","24",2,"crps",0.203727939282908
"300","24",2,"crps",0.19046051995115
"350","24",2,"crps",0.216437302156827
"200","30",2,"crps",0.213765741405835
"250","30",2,"crps",0.215313545663914
"300","30",2,"crps",0.181342001669088
"350","30",2,"crps",0.193870752523273
"200","31",2,"crps",0.255184941257477
"250","31",2,"crps",0.219770736797236
"300","31",2,"crps",0.254098679246998
"350","31",2,"crps",0.202506207668347
"200","25",3,"crps",0.21480033009708
"250","25",3,"crps",0.198925021026092
"300","25",3,"crps",0.201105465415396
"350","25",3,"crps",0.21214039666145
"200","24",3,"crps",0.210582624795584
"250","24",3,"crps",0.197989134052836
"300","24",3,"crps",0.211164812218322
"350","24",3,"crps",0.222339716840353
"200","30",3,"crps",0.216379915341507
"250","30",3,"crps",0.204116481314722
"300","30",3,"crps",0.218041326420125
"350","30",3,"crps",0.18131774012752
"200","31",3,"crps",0.23071996845262
"250","31",3,"crps",0.225397861297963
"300","31",3,"crps",0.221414500572009
"350","31",3,"crps",0.205830641036834
"200","25",4,"crps",0.195791546819596
"250","25",4,"crps",0.208565277635039
"300","25",4,"crps",0.244925678358883
"350","25",4,"crps",0.220290711685571
"200","24",4,"crps",0.20731881356039
"250","24",4,"crps",0.219811415166363
"300","24",4,"crps",0.181401224584621
"350","24",4,"crps",0.21345938872358
"200","30",4,"crps",0.202426494090304
"250","30",4,"crps",0.185056763685655
"300","30",4,"crps",0.173260578084111
"350","30",4,"crps",0.198517261812755
"200","31",4,"crps",0.241444666004309
"250","31",4,"crps",0.240275494325504
"300","31",4,"crps",0.220828475375188
"350","31",4,"crps",0.211371601540513
"200","25",5,"crps",0.245092505578102
"250","25",5,"crps",0.221721059562821
"300","25",5,"crps",0.259410721223397
"350","25",5,"crps",0.228494002171451
"200","24",5,"crps",0.216686843347068
"250","24",5,"crps",0.191848961083214
"300","24",5,"crps",0.213349638000602
"350","24",5,"crps",0.23538858987857
"200","30",5,"crps",0.206952633734815
"250","30",5,"crps",0.199387803786272
"300","30",5,"crps",0.187368615017575
"350","30",5,"crps",0.187188284635522
"200","31",5,"crps",0.222241362055975
"250","31",5,"crps",0.221915485178259
"300","31",5,"crps",0.228201410751002
"350","31",5,"crps",0.22946491070007
"200","25",6,"crps",0.22878513751535
"250","25",6,"crps",0.215253343300103
"300","25",6,"crps",0.221411431124217
"350","25",6,"crps",0.210304536162926
"200","24",6,"crps",0.237235502823541
"250","24",6,"crps",0.222679389682245
"300","24",6,"crps",0.204835552854369
"350","24",6,"crps",0.239253910889389
"200","30",6,"crps",0.200033780065177
"250","30",6,"crps",0.196662939550682
"300","30",6,"crps",0.195736156428978
"350","30",6,"crps",0.198925233788844
"200","31",6,"crps",0.225666152771386
"250","31",6,"crps",0.215997661867296
"300","31",6,"crps",0.205428875271486
"350","31",6,"crps",0.216277264033552
"200","25",7,"crps",0.21846225276726
"250","25",7,"crps",0.235264828641358
"300","25",7,"crps",0.233567466069458
"350","25",7,"crps",0.212098023145774
"200","24",7,"crps",0.205371547147568
"250","24",7,"crps",0.189189279677061
"300","24",7,"crps",0.21674943130789
"350","24",7,"crps",0.219864433274868
"200","30",7,"crps",0.186892280825769
"250","30",7,"crps",0.191304366996695
"300","30",7,"crps",0.192222109468641
"350","30",7,"crps",0.182958792819898
"200","31",7,"crps",0.213265734719683
"250","31",7,"crps",0.237207135124926
"300","31",7,"crps",0.196681700127038
"350","31",7,"crps",0.221543583415803
"200","25",8,"crps",0.260576483321651
"250","25",8,"crps",0.209824260012267
"300","25",8,"crps",0.218223230740111
"350","25",8,"crps",0.193199350508501
"200","24",8,"crps",0.204865941278268
"250","24",8,"crps",0.196479539410625
"300","24",8,"crps",0.221652670077965
"350","24",8,"crps",0.234662270159398
"200","30",8,"crps",0.216208930919913
"250","30",8,"crps",0.199025893372564
"300","30",8,"crps",0.18335700664722
"350","30",8,"crps",0.202284905262649
"200","31",8,"crps",0.255102039808196
"250","31",8,"crps",0.236489731650053
"300","31",8,"crps",0.19952491210999
"350","31",8,"crps",0.217511923022006
"200","25",9,"crps",0.20645029173258
"250","25",9,"crps",0.201457438208955
"300","25",9,"crps",0.202727912096964
"350","25",9,"crps",0.220339125765097
"200","24",9,"crps",0.19739576121434
"250","24",9,"crps",0.186156327296487
"300","24",9,"crps",0.203436005923197
"350","24",9,"crps",0.176258804747371
"200","30",9,"crps",0.189758095145104
"250","30",9,"crps",0.186871562627495
"300","30",9,"crps",0.187477909990069
"350","30",9,"crps",0.180967417687425
"200","31",9,"crps",0.222617622775497
"250","31",9,"crps",0.209096840472346
"300","31",9,"crps",0.19983071096467
"350","31",9,"crps",0.255702611570748
"200","25",10,"crps",0.198910320838951
"250","25",10,"crps",0.198760246286917
"300","25",10,"crps",0.212810846947249
"350","25",10,"crps",0.255442963758229
"200","24",10,"crps",0.221219385906946
"250","24",10,"crps",0.225471043932648
"300","24",10,"crps",0.249798759001134
"350","24",10,"crps",0.189479420628838
"200","30",10,"crps",0.208910511518005
"250","30",10,"crps",0.205725148421579
"300","30",10,"crps",0.205228204819795
"350","30",10,"crps",0.167355686217984
"200","31",10,"crps",0.209751575986286
"250","31",10,"crps",0.223641776453199
"300","31",10,"crps",0.242978199308834
"350","31",10,"crps",0.255216276632717
"200","25",1,"cov",0.937728937728938
"250","25",1,"cov",0.937219730941704
"300","25",1,"cov",0.884393063583815
"350","25",1,"cov",0.772357723577236
"200","24",1,"cov",0.89010989010989
"250","24",1,"cov",0.932735426008969
"300","24",1,"cov",0.901734104046243
"350","24",1,"cov",0.910569105691057
"200","30",1,"cov",0.93040293040293
"250","30",1,"cov",0.914798206278027
"300","30",1,"cov",0.907514450867052
"350","30",1,"cov",0.780487804878049
"200","31",1,"cov",0.952380952380952
"250","31",1,"cov",0.869955156950673
"300","31",1,"cov",0.872832369942196
"350","31",1,"cov",0.853658536585366
"200","25",2,"cov",0.89010989010989
"250","25",2,"cov",0.878923766816143
"300","25",2,"cov",0.942196531791908
"350","25",2,"cov",0.813008130081301
"200","24",2,"cov",0.937728937728938
"250","24",2,"cov",0.910313901345291
"300","24",2,"cov",0.913294797687861
"350","24",2,"cov",0.764227642276423
"200","30",2,"cov",0.879120879120879
"250","30",2,"cov",0.860986547085202
"300","30",2,"cov",0.92485549132948
"350","30",2,"cov",0.821138211382114
"200","31",2,"cov",0.879120879120879
"250","31",2,"cov",0.887892376681614
"300","31",2,"cov",0.867052023121387
"350","31",2,"cov",0.902439024390244
"200","25",3,"cov",0.912087912087912
"250","25",3,"cov",0.919282511210762
"300","25",3,"cov",0.884393063583815
"350","25",3,"cov",0.829268292682927
"200","24",3,"cov",0.941391941391941
"250","24",3,"cov",0.937219730941704
"300","24",3,"cov",0.878612716763006
"350","24",3,"cov",0.747967479674797
"200","30",3,"cov",0.912087912087912
"250","30",3,"cov",0.860986547085202
"300","30",3,"cov",0.815028901734104
"350","30",3,"cov",0.894308943089431
"200","31",3,"cov",0.934065934065934
"250","31",3,"cov",0.89237668161435
"300","31",3,"cov",0.895953757225434
"350","31",3,"cov",0.91869918699187
"200","25",4,"cov",0.948717948717949
"250","25",4,"cov",0.928251121076233
"300","25",4,"cov",0.820809248554913
"350","25",4,"cov",0.772357723577236
"200","24",4,"cov",0.941391941391941
"250","24",4,"cov",0.878923766816143
"300","24",4,"cov",0.919075144508671
"350","24",4,"cov",0.772357723577236
"200","30",4,"cov",0.952380952380952
"250","30",4,"cov",0.923766816143498
"300","30",4,"cov",0.947976878612717
"350","30",4,"cov",0.894308943089431
"200","31",4,"cov",0.89010989010989
"250","31",4,"cov",0.865470852017937
"300","31",4,"cov",0.884393063583815
"350","31",4,"cov",0.910569105691057
"200","25",5,"cov",0.904761904761905
"250","25",5,"cov",0.901345291479821
"300","25",5,"cov",0.84971098265896
"350","25",5,"cov",0.829268292682927
"200","24",5,"cov",0.908424908424908
"250","24",5,"cov",0.94170403587444
"300","24",5,"cov",0.872832369942196
"350","24",5,"cov",0.764227642276423
"200","30",5,"cov",0.93040293040293
"250","30",5,"cov",0.901345291479821
"300","30",5,"cov",0.895953757225434
"350","30",5,"cov",0.821138211382114
"200","31",5,"cov",0.904761904761905
"250","31",5,"cov",0.95067264573991
"300","31",5,"cov",0.855491329479769
"350","31",5,"cov",0.869918699186992
"200","25",6,"cov",0.93040293040293
"250","25",6,"cov",0.94170403587444
"300","25",6,"cov",0.907514450867052
"350","25",6,"cov",0.853658536585366
"200","24",6,"cov",0.868131868131868
"250","24",6,"cov",0.860986547085202
"300","24",6,"cov",0.895953757225434
"350","24",6,"cov",0.747967479674797
"200","30",6,"cov",0.915750915750916
"250","30",6,"cov",0.883408071748879
"300","30",6,"cov",0.855491329479769
"350","30",6,"cov",0.829268292682927
"200","31",6,"cov",0.926739926739927
"250","31",6,"cov",0.905829596412556
"300","31",6,"cov",0.913294797687861
"350","31",6,"cov",0.886178861788618
"200","25",7,"cov",0.937728937728938
"250","25",7,"cov",0.878923766816143
"300","25",7,"cov",0.84393063583815
"350","25",7,"cov",0.878048780487805
"200","24",7,"cov",0.945054945054945
"250","24",7,"cov",0.910313901345291
"300","24",7,"cov",0.855491329479769
"350","24",7,"cov",0.845528455284553
"200","30",7,"cov",0.937728937728938
"250","30",7,"cov",0.901345291479821
"300","30",7,"cov",0.901734104046243
"350","30",7,"cov",0.886178861788618
"200","31",7,"cov",0.93040293040293
"250","31",7,"cov",0.905829596412556
"300","31",7,"cov",0.919075144508671
"350","31",7,"cov",0.861788617886179
"200","25",8,"cov",0.871794871794872
"250","25",8,"cov",0.937219730941704
"300","25",8,"cov",0.872832369942196
"350","25",8,"cov",0.894308943089431
"200","24",8,"cov",0.926739926739927
"250","24",8,"cov",0.95067264573991
"300","24",8,"cov",0.820809248554913
"350","24",8,"cov",0.83739837398374
"200","30",8,"cov",0.934065934065934
"250","30",8,"cov",0.94170403587444
"300","30",8,"cov",0.913294797687861
"350","30",8,"cov",0.845528455284553
"200","31",8,"cov",0.875457875457875
"250","31",8,"cov",0.89237668161435
"300","31",8,"cov",0.913294797687861
"350","31",8,"cov",0.861788617886179
"200","25",9,"cov",0.919413919413919
"250","25",9,"cov",0.910313901345291
"300","25",9,"cov",0.913294797687861
"350","25",9,"cov",0.788617886178862
"200","24",9,"cov",0.934065934065934
"250","24",9,"cov",0.932735426008969
"300","24",9,"cov",0.878612716763006
"350","24",9,"cov",0.91869918699187
"200","30",9,"cov",0.948717948717949
"250","30",9,"cov",0.94170403587444
"300","30",9,"cov",0.901734104046243
"350","30",9,"cov",0.861788617886179
"200","31",9,"cov",0.93040293040293
"250","31",9,"cov",0.928251121076233
"300","31",9,"cov",0.92485549132948
"350","31",9,"cov",0.821138211382114
"200","25",10,"cov",0.93040293040293
"250","25",10,"cov",0.919282511210762
"300","25",10,"cov",0.890173410404624
"350","25",10,"cov",0.845528455284553
"200","24",10,"cov",0.945054945054945
