"n","Dimension","Fold","Statistic","val"
"300",20,1,"rmse",0.526671062858465
"400",20,1,"rmse",0.555586046546243
"500",20,1,"rmse",0.488923457538817
"300",25,1,"rmse",0.581962923031849
"400",25,1,"rmse",0.564468482690644
"500",25,1,"rmse",0.484424410107483
"300",20,2,"rmse",0.561016492676396
"400",20,2,"rmse",0.554789837442478
"500",20,2,"rmse",0.572609405784474
"300",25,2,"rmse",0.566717544566662
"400",25,2,"rmse",0.547530001109414
"500",25,2,"rmse",0.554429545063967
"300",20,3,"rmse",0.46518664334343
"400",20,3,"rmse",0.590163806172677
"500",20,3,"rmse",0.537167539792107
"300",25,3,"rmse",0.573702677876108
"400",25,3,"rmse",0.564534563318835
"500",25,3,"rmse",0.479275878420821
"300",20,4,"rmse",0.498795898849453
"400",20,4,"rmse",0.58781573243618
"500",20,4,"rmse",0.557031210677561
"300",25,4,"rmse",0.661023668866199
"400",25,4,"rmse",0.489193298509788
"500",25,4,"rmse",0.632466119968621
"300",20,5,"rmse",0.456434742925374
"400",20,5,"rmse",0.539433243221312
"500",20,5,"rmse",0.551584545360468
"300",25,5,"rmse",0.565259180489674
"400",25,5,"rmse",0.578533364092495
"500",25,5,"rmse",0.610369591870332
"300",20,6,"rmse",0.598499537837071
"400",20,6,"rmse",0.500547609090576
"500",20,6,"rmse",0.581311566994313
"300",25,6,"rmse",0.749577997062315
"400",25,6,"rmse",0.523540589736284
"500",25,6,"rmse",0.55549207463486
"300",20,7,"rmse",0.557830856124463
"400",20,7,"rmse",0.496473931574893
"500",20,7,"rmse",0.513226841598305
"300",25,7,"rmse",0.585436498187479
"400",25,7,"rmse",0.53399955236989
"500",25,7,"rmse",0.442109363476605
"300",20,8,"rmse",0.596257509798213
"400",20,8,"rmse",0.510124753193283
"500",20,8,"rmse",0.450408319197037
"300",25,8,"rmse",0.542070407894669
"400",25,8,"rmse",0.591016660832374
"500",25,8,"rmse",0.68895743146034
"300",20,9,"rmse",0.62766027277891
"400",20,9,"rmse",0.448263192033134
"500",20,9,"rmse",0.549724396648481
"300",25,9,"rmse",0.547073204181406
"400",25,9,"rmse",0.520874577565597
"500",25,9,"rmse",0.489053274369543
"300",20,10,"rmse",0.55869616665122
"400",20,10,"rmse",0.451178245291598
"500",20,10,"rmse",0.545375429080669
"300",25,10,"rmse",0.688672175816202
"400",25,10,"rmse",0.451003101290442
"500",25,10,"rmse",0.574826002536185
"300",20,1,"crps",0.283609151113873
"400",20,1,"crps",0.307451508888918
"500",20,1,"crps",0.267590901461611
"300",25,1,"crps",0.316400393825645
"400",25,1,"crps",0.306548553718681
"500",25,1,"crps",0.264198804709055
"300",20,2,"crps",0.308333105764019
"400",20,2,"crps",0.29928632487117
"500",20,2,"crps",0.311794955760617
"300",25,2,"crps",0.299595680347019
"400",25,2,"crps",0.306498195549175
"500",25,2,"crps",0.308005472657794
"300",20,3,"crps",0.251222471558092
"400",20,3,"crps",0.316905110527593
"500",20,3,"crps",0.290928605909935
"300",25,3,"crps",0.305069084493147
"400",25,3,"crps",0.315510233693297
"500",25,3,"crps",0.261975896750496
"300",20,4,"crps",0.27229189475455
"400",20,4,"crps",0.316909548996487
"500",20,4,"crps",0.308213215548035
"300",25,4,"crps",0.357600629455415
"400",25,4,"crps",0.268261598104491
"500",25,4,"crps",0.329034884831084
"300",20,5,"crps",0.254684058352548
"400",20,5,"crps",0.281320314430618
"500",20,5,"crps",0.298030774849347
"300",25,5,"crps",0.313648355685327
"400",25,5,"crps",0.309573964382598
"500",25,5,"crps",0.328161677218757
"300",20,6,"crps",0.327987767545396
"400",20,6,"crps",0.277177391938844
"500",20,6,"crps",0.312600017679382
"300",25,6,"crps",0.375787302469547
"400",25,6,"crps",0.287765289847309
"500",25,6,"crps",0.299429496098087
"300",20,7,"crps",0.295158186557369
"400",20,7,"crps",0.278333539224442
"500",20,7,"crps",0.278305050595835
"300",25,7,"crps",0.326219290435064
"400",25,7,"crps",0.297001922762737
"500",25,7,"crps",0.239574487904096
"300",20,8,"crps",0.317711101069194
"400",20,8,"crps",0.283079018611149
"500",20,8,"crps",0.252210341872634
"300",25,8,"crps",0.302530337391082
"400",25,8,"crps",0.297450387413316
"500",25,8,"crps",0.338918282549502
"300",20,9,"crps",0.337703577116294
"400",20,9,"crps",0.250167376559462
"500",20,9,"crps",0.292643929127044
