"n","Dimension","Fold","Statistic","val"
"300",20,1,"rmse",0.583531860608895
"400",20,1,"rmse",0.536104681538687
"500",20,1,"rmse",0.525250601972963
"300",25,1,"rmse",0.602753800749333
"400",25,1,"rmse",0.701686470935458
"500",25,1,"rmse",0.657627500018091
"300",30,1,"rmse",0.602753800749333
"400",30,1,"rmse",0.701686470935458
"500",30,1,"rmse",0.657627500018091
"300",20,2,"rmse",0.633755205239119
"400",20,2,"rmse",0.676175838616833
"500",20,2,"rmse",0.609710154372296
"300",25,2,"rmse",0.707175362212656
"400",25,2,"rmse",0.541453716395482
"500",25,2,"rmse",0.591881797349323
"300",30,2,"rmse",0.707175362212656
"400",30,2,"rmse",0.541453716395482
"500",30,2,"rmse",0.591881797349323
"300",20,3,"rmse",0.635343365201936
"400",20,3,"rmse",0.655179179306512
"500",20,3,"rmse",0.520441957868329
"300",25,3,"rmse",0.605605923837056
"400",25,3,"rmse",0.635707700487931
"500",25,3,"rmse",0.627344290099845
"300",30,3,"rmse",0.605605923837056
"400",30,3,"rmse",0.635707700487931
"500",30,3,"rmse",0.627344290099845
"300",20,4,"rmse",0.627039196735144
"400",20,4,"rmse",0.646727081858854
"500",20,4,"rmse",0.591066646450486
"300",25,4,"rmse",0.66195310781248
"400",25,4,"rmse",0.699270976143847
"500",25,4,"rmse",0.673619659378862
"300",30,4,"rmse",0.66195310781248
"400",30,4,"rmse",0.699270976143847
"500",30,4,"rmse",0.673619659378862
"300",20,5,"rmse",0.609116473407512
"400",20,5,"rmse",0.579788927020343
"500",20,5,"rmse",0.53101387922221
"300",25,5,"rmse",0.600627376911715
"400",25,5,"rmse",0.567292652953957
"500",25,5,"rmse",0.512842197978145
"300",30,5,"rmse",0.600627376911715
"400",30,5,"rmse",0.567292652953957
"500",30,5,"rmse",0.512842197978145
"300",20,6,"rmse",0.677780185991808
"400",20,6,"rmse",0.624164443658217
"500",20,6,"rmse",0.538316344328705
"300",25,6,"rmse",0.601641590067014
"400",25,6,"rmse",0.608561920145575
"500",25,6,"rmse",0.534990616703175
"300",30,6,"rmse",0.601641590067014
"400",30,6,"rmse",0.608561920145575
"500",30,6,"rmse",0.534990616703175
"300",20,7,"rmse",0.535685126123863
"400",20,7,"rmse",0.620861184998578
"500",20,7,"rmse",0.558729236028769
"300",25,7,"rmse",0.625104688058763
"400",25,7,"rmse",0.605647464587839
"500",25,7,"rmse",0.559241581409164
"300",30,7,"rmse",0.625104688058763
"400",30,7,"rmse",0.605647464587839
"500",30,7,"rmse",0.559241581409164
"300",20,8,"rmse",0.566651769844104
"400",20,8,"rmse",0.529771746852074
"500",20,8,"rmse",0.530132095257154
"300",25,8,"rmse",0.540794683301624
"400",25,8,"rmse",0.576554002557831
"500",25,8,"rmse",0.604831251990191
"300",30,8,"rmse",0.540794683301624
"400",30,8,"rmse",0.576554002557831
"500",30,8,"rmse",0.604831251990191
"300",20,9,"rmse",0.603975743340389
"400",20,9,"rmse",0.510481455834313
"500",20,9,"rmse",0.535469904265231
"300",25,9,"rmse",0.602113664501806
"400",25,9,"rmse",0.582148612046412
"500",25,9,"rmse",0.514305182225806
"300",30,9,"rmse",0.602113664501806
"400",30,9,"rmse",0.582148612046412
"500",30,9,"rmse",0.514305182225806
"300",20,10,"rmse",0.628282686787004
"400",20,10,"rmse",0.610614519962542
"500",20,10,"rmse",0.483542765766966
"300",25,10,"rmse",0.640879155002681
"400",25,10,"rmse",0.647380366047443
"500",25,10,"rmse",0.69886519220446
"300",30,10,"rmse",0.640879155002681
"400",30,10,"rmse",0.647380366047443
"500",30,10,"rmse",0.69886519220446
"300",20,1,"crps",0.325358352750551
"400",20,1,"crps",0.300258110086614
"500",20,1,"crps",0.301051101096333
"300",25,1,"crps",0.35161322981859
"400",25,1,"crps",0.417132693018559
"500",25,1,"crps",0.347002335647336
"300",30,1,"crps",0.35161322981859
"400",30,1,"crps",0.417132693018559
"500",30,1,"crps",0.347002335647336
"300",20,2,"crps",0.373269721546758
"400",20,2,"crps",0.386339805391331
"500",20,2,"crps",0.34184425422277
"300",25,2,"crps",0.418012910788463
"400",25,2,"crps",0.301654305406363
"500",25,2,"crps",0.341756530060833
"300",30,2,"crps",0.418012910788463
"400",30,2,"crps",0.301654305406363
"500",30,2,"crps",0.341756530060833
"300",20,3,"crps",0.366180042979936
"400",20,3,"crps",0.36678416951642
"500",20,3,"crps",0.299721685374607
"300",25,3,"crps",0.341070901869808
"400",25,3,"crps",0.365594690114008
"500",25,3,"crps",0.372676608505854
"300",30,3,"crps",0.341070901869808
"400",30,3,"crps",0.365594690114008
"500",30,3,"crps",0.372676608505854
"300",20,4,"crps",0.362492362204548
"400",20,4,"crps",0.352441215967959
"500",20,4,"crps",0.324004652289882
"300",25,4,"crps",0.352387864967137
"400",25,4,"crps",0.383202233125475
"500",25,4,"crps",0.3759497948244
"300",30,4,"crps",0.352387864967137
"400",30,4,"crps",0.383202233125475
"500",30,4,"crps",0.3759497948244
"300",20,5,"crps",0.335403063317525
"400",20,5,"crps",0.315037357776362
"500",20,5,"crps",0.294367477731884
"300",25,5,"crps",0.325177837495739
"400",25,5,"crps",0.32198067237968
"500",25,5,"crps",0.281469322434915
"300",30,5,"crps",0.325177837495739
"400",30,5,"crps",0.32198067237968
"500",30,5,"crps",0.281469322434915
"300",20,6,"crps",0.376906398392091
"400",20,6,"crps",0.357365861201215
"500",20,6,"crps",0.303316589228664
"300",25,6,"crps",0.333902994135195
"400",25,6,"crps",0.343716537623685
"500",25,6,"crps",0.300878903238754
"300",30,6,"crps",0.333902994135195
"400",30,6,"crps",0.343716537623685
"500",30,6,"crps",0.300878903238754
"300",20,7,"crps",0.309843336738721
"400",20,7,"crps",0.353879030948537
"500",20,7,"crps",0.318174973126935
"300",25,7,"crps",0.363555145190948
"400",25,7,"crps",0.335038883596845
"500",25,7,"crps",0.315506161834208
"300",30,7,"crps",0.363555145190948
"400",30,7,"crps",0.335038883596845
"500",30,7,"crps",0.315506161834208
"300",20,8,"crps",0.328154939854236
"400",20,8,"crps",0.298227611965581
"500",20,8,"crps",0.294511204115669
"300",25,8,"crps",0.300831915677391
"400",25,8,"crps",0.325142529028512
"500",25,8,"crps",0.343085383732902
"300",30,8,"crps",0.300831915677391
"400",30,8,"crps",0.325142529028512
"500",30,8,"crps",0.343085383732902
"300",20,9,"crps",0.345032996683646
"400",20,9,"crps",0.288597100049532
"500",20,9,"crps",0.301911006321651
"300",25,9,"crps",0.347274628641936
"400",25,9,"crps",0.326967693805391
"500",25,9,"crps",0.293288585022462
"300",30,9,"crps",0.347274628641936
"400",30,9,"crps",0.326967693805391
"500",30,9,"crps",0.293288585022462
"300",20,10,"crps",0.369967604756396
"400",20,10,"crps",0.356589811648683
"500",20,10,"crps",0.270181700881355
"300",25,10,"crps",0.367150730369104
"400",25,10,"crps",0.369241443847903
"500",25,10,"crps",0.395687685249758
"300",30,10,"crps",0.367150730369104
"400",30,10,"crps",0.369241443847903
"500",30,10,"crps",0.395687685249758
"300",20,1,"cov",0.876666666666667
"400",20,1,"cov",0.826666666666667
"500",20,1,"cov",0.816666666666667
"300",25,1,"cov",0.786666666666667
"400",25,1,"cov",0.723333333333333
"500",25,1,"cov",0.836666666666667
"300",30,1,"cov",0.786666666666667
"400",30,1,"cov",0.723333333333333
"500",30,1,"cov",0.836666666666667
"300",20,2,"cov",0.77
"400",20,2,"cov",0.76
"500",20,2,"cov",0.82
"300",25,2,"cov",0.773333333333333
"400",25,2,"cov",0.893333333333333
"500",25,2,"cov",0.8
"300",30,2,"cov",0.773333333333333
"400",30,2,"cov",0.893333333333333
"500",30,2,"cov",0.8
